# LightIN Fig 4d, all-cross state, T20 crosstalk curve
# Manually/colour digitized from the published figure (s41377-026-02209-5).
# dB scale anchored to figure-read endpoints (-15 dB edges, -25 dB minimum); ~+/-2 dB uncertainty.
wavelength_nm,crosstalk_dB
1549.0,-14.12
1550.6,-15.44
1552.1,-17.07
1553.7,-18.32
1555.3,-19.74
1556.9,-20.83
1558.5,-22.20
1560.0,-22.85
1561.6,-22.78
1563.2,-23.74
1564.8,-24.18
1566.4,-24.80
1567.9,-24.97
1569.5,-24.55
1571.1,-24.73
1572.7,-24.52
1574.3,-24.03
1575.8,-23.23
1577.4,-23.74
1579.0,-22.38
1580.6,-22.17
1582.2,-21.56
1583.7,-21.49
1585.3,-20.64
1587.0,-20.94
