# LightIN Fig 4e, all-bar state, the four diagonal (through-path) traces T00, T11, T22 and
# T33, one from each sub-panel of the 2x2 array.
# Manually/colour digitized from the published figure (s41377-026-02209-5).
# Panel 4e is a 2x2 array of sub-panels, one per input port; each carries the four outputs
# of that input, and its diagonal Tjj is the intended all-bar path. Axes in every
# sub-panel: wavelength 1550-1590 nm, transmission 0 to -25 dB.
# Pixel-to-data anchors, fitted by least squares over the inward tick marks of each
# sub-panel separately. A tick whose mark is overdrawn by a trace is dropped, which is why
# the sub-panels contribute different numbers of ticks:
#   T00 (top left):     row = -10.4940*dB + 114.9037   6 ticks, 0 to -25 dB, max residual
#                                                      0.17 px = 0.016 dB
#   T11 (top right):    row = -10.4962*dB + 114.8862   5 ticks, 0 to -20 dB, max residual
#                                                      0.16 px = 0.015 dB
#   T22 (bottom left):  row = -10.5118*dB + 521.7899   4 ticks, 0 to -15 dB, max residual
#                                                      0.04 px = 0.004 dB
#   T33 (bottom right): row = -10.4875*dB + 521.9408   6 ticks, 0 to -25 dB, max residual
#                                                      0.25 px = 0.023 dB
#   left sub-panels:    col =  10.55780*nm - 16180.210 from the 1560, 1570, 1580, 1590 nm
#                                                      ticks, max residual 0.06 px
#   right sub-panels:   col =  10.51495*nm - 15506.850 from the 1560 and 1570 nm ticks and
#                                                      the y-axis spine, which is the
#                                                      1550 nm gridline; max residual
#                                                      0.15 px. The 1580 and 1590 ticks
#                                                      there are covered by the T21 and
#                                                      T23 bands.
# The left-panel column fit was checked against the y-axis spine it does not use: it puts
# 1550 nm at column 184.38 against a spine centroid of 184.44, 0.06 px apart.
# The right sub-panels are drawn 0.4% narrower in x than the left ones, which is why they
# carry their own column fit; over 40 nm the two differ by 1.7 px = 0.16 nm.
# What is tabulated is the VERTICAL CENTRE of the drawn trace: per pixel column the
# longest contiguous run of the trace colour, then the median of its centre over an
# 11-pixel (+/-0.5 nm) window. Unlike the T32 band of data/fig4e_bar_digitized.csv, which
# the -25 dB axis limit truncates, these traces are drawn clear of both axis limits, so
# the centre is readable and no envelope correction is applied.
# Uncertainty ~+/-0.3 dB, one standard deviation, from: tick-fit residual 0.02 dB,
# scatter of the trace centre within the window 0.04 dB median and 0.12 dB worst, and
# placement of the centre from the two edges of a ~11-pixel line each read to +/-2 px,
# 0.19 dB. Same size as data/fig4e_bar_digitized.csv, and for the same reasons.
# Coverage: the legend box of each sub-panel is opaque and hides 1574.5-1588.3 nm in all
# four, so the 1.5 nm grid runs 1550.0-1574.0 nm and then resumes at 1589.0 nm. The
# 1589.0 nm point sits in the roll-off at the end of the scan, where the drawn trace is
# about 1.6 dB thick against 1.1 dB across the rest of the band; its centre is a weaker
# reading than the others and the two ranges are reported separately wherever it matters.
wavelength_nm,T00_dB,T11_dB,T22_dB,T33_dB
1550.0,-2.44,-2.15,-1.45,-1.10
1551.5,-2.30,-2.15,-1.45,-1.48
1553.0,-2.49,-2.15,-1.54,-1.25
1554.5,-2.20,-2.42,-1.59,-1.27
1556.0,-2.34,-2.18,-1.64,-1.34
1557.5,-2.44,-2.35,-1.54,-1.25
1559.0,-2.34,-2.20,-1.54,-1.20
1560.5,-2.44,-2.39,-1.59,-1.34
1562.0,-2.44,-2.18,-1.64,-1.29
1563.5,-2.25,-2.20,-1.49,-1.39
1565.0,-2.39,-2.30,-1.78,-1.48
1566.5,-2.44,-2.30,-1.97,-1.63
1568.0,-2.34,-2.23,-1.95,-1.58
1569.5,-2.34,-2.25,-1.97,-1.67
1571.0,-2.58,-2.30,-2.07,-1.96
1572.5,-2.77,-2.35,-2.26,-2.01
1574.0,-2.77,-2.44,-2.21,-1.96
1589.0,-4.06,-3.30,-3.78,-3.41
